Date,Open,High,Low,Close,Adj Close,Volume
2017-08-31,515.549988,517.380005,514.299988,516.039978,516.039978,86130000
2017-09-01,518.159973,519.020020,517.109985,518.179993,518.179993,62715500
2017-09-04,515.010010,517.809998,515.010010,516.270020,516.270020,47836800
2017-09-05,517.390015,518.900024,514.770020,515.460022,515.460022,68417700
2017-09-06,513.900024,517.119995,512.820007,516.469971,516.469971,70558800
2017-09-07,517.770020,520.039978,515.940002,518.830017,518.830017,75690100
2017-09-08,517.010010,519.510010,516.820007,518.820007,518.820007,70863800
2017-09-11,521.599976,524.030029,521.599976,523.960022,523.960022,72439300
2017-09-12,525.919983,527.380005,525.179993,526.580017,526.580017,81333000
2017-09-13,525.739990,529.760010,525.739990,528.690002,528.690002,74339000
2017-09-14,527.859985,530.130005,527.690002,529.340027,529.340027,84424700
2017-09-15,528.330017,529.000000,526.109985,526.780029,526.780029,147192000
2017-09-18,529.109985,530.049988,528.200012,529.309998,529.309998,57861500
2017-09-19,528.380005,529.320007,528.030029,528.659973,528.659973,63873200
2017-09-20,528.349976,529.239990,527.880005,528.659973,528.659973,62252500
2017-09-21,530.010010,530.750000,528.090027,528.469971,528.469971,93102800
2017-09-22,527.030029,529.280029,526.849976,528.030029,528.030029,81457200
2017-09-25,527.169983,529.750000,526.890015,527.780029,527.780029,70998100
2017-09-26,527.159973,529.650024,527.130005,528.500000,528.500000,73973900
2017-09-27,529.539978,531.880005,529.390015,531.090027,531.090027,90749400
2017-09-28,531.909973,533.390015,531.369995,533.390015,533.390015,77313800
2017-09-29,534.390015,537.059998,534.250000,537.059998,537.059998,89531100
2017-10-02,538.570007,541.260010,537.789978,541.039978,541.039978,73686300
2017-10-03,541.989990,542.250000,540.859985,542.250000,542.250000,61540000
2017-10-04,542.510010,542.510010,540.280029,541.650024,541.650024,80587500
2017-10-05,541.109985,542.880005,540.989990,542.880005,542.880005,80950800
2017-10-06,542.380005,542.380005,539.260010,539.900024,539.900024,82337000
2017-10-09,540.700012,542.739990,540.320007,541.190002,541.190002,57109500
2017-10-10,540.440002,542.169983,540.219971,541.140015,541.140015,64439400
2017-10-11,541.739990,541.799988,539.729980,541.760010,541.760010,75244400
2017-10-12,541.690002,543.020020,541.179993,542.840027,542.840027,62312300
2017-10-13,544.000000,547.150024,543.849976,546.210022,546.210022,80162200
2017-10-16,547.429993,547.789978,546.669983,546.669983,546.669983,60898000
2017-10-17,547.049988,547.780029,546.190002,546.619995,546.619995,62571900
2017-10-18,546.809998,549.450012,546.200012,547.679993,547.679993,62008000
2017-10-19,545.869995,546.580017,541.659973,544.559998,544.559998,88039700
2017-10-20,545.950012,546.450012,543.820007,544.630005,544.630005,94878300
2017-10-23,545.299988,547.359985,543.750000,545.960022,545.960022,72109900
2017-10-24,544.849976,546.710022,543.669983,543.669983,543.669983,81653800
2017-10-25,543.280029,545.250000,540.369995,541.270020,541.270020,79260700
2017-10-26,541.590027,548.190002,541.590027,547.669983,547.669983,88329100
2017-10-27,549.320007,551.289978,548.039978,549.440002,549.440002,98067700
2017-10-30,549.159973,550.059998,548.500000,549.460022,549.460022,69657300
2017-10-31,550.359985,553.919983,550.140015,553.380005,553.380005,72018300
2017-11-01,555.710022,557.349976,554.489990,554.489990,554.489990,86901600
2017-11-02,554.520020,555.469971,551.140015,553.830017,553.830017,89195400
2017-11-03,554.960022,555.469971,553.320007,555.150024,555.150024,97291400
2017-11-06,554.500000,556.169983,553.549988,555.219971,555.219971,87152600
2017-11-07,557.289978,557.429993,553.640015,553.799988,553.799988,81476000
2017-11-08,555.179993,555.890015,553.640015,554.770020,554.770020,105570400
2017-11-09,554.559998,555.609985,550.000000,550.369995,550.369995,136889000
2017-11-10,549.659973,551.099976,547.229980,547.320007,547.320007,102601500
2017-11-13,548.349976,548.770020,543.099976,545.429993,545.429993,87630900
2017-11-14,545.940002,546.599976,540.059998,541.729980,541.729980,108893500
2017-11-15,538.650024,539.659973,535.440002,538.489990,538.489990,118618800
2017-11-16,540.030029,540.489990,538.179993,539.190002,539.190002,82280800
2017-11-17,539.719971,539.869995,534.619995,536.619995,536.619995,107676600
2017-11-20,535.630005,540.909973,535.520020,539.710022,539.710022,84002700
2017-11-21,539.500000,543.200012,538.750000,541.820007,541.820007,94380500
2017-11-22,542.159973,544.429993,540.020020,540.020020,540.020020,90004100
2017-11-23,538.599976,542.390015,537.760010,541.349976,541.349976,60967900
2017-11-24,541.609985,543.530029,540.630005,540.630005,540.630005,63701500
2017-11-27,539.840027,542.950012,538.049988,538.090027,538.090027,73560000
2017-11-28,539.400024,544.979980,539.039978,543.590027,543.590027,88117100
2017-11-29,546.130005,546.599976,540.179993,541.419983,541.419983,93476400
2017-11-30,541.109985,545.020020,540.109985,540.109985,540.109985,146095800
2017-12-01,540.950012,541.400024,535.289978,535.570007,535.570007,105504300
2017-12-04,541.989990,543.549988,539.820007,541.539978,541.539978,94822000
2017-12-05,542.510010,543.880005,540.190002,543.080017,543.080017,91373700
2017-12-06,539.150024,543.750000,538.299988,542.770020,542.770020,84359700
2017-12-07,543.650024,544.669983,542.080017,544.510010,544.510010,113067600
2017-12-08,547.299988,548.900024,546.359985,547.219971,547.219971,109184800
2017-12-11,548.809998,548.919983,547.200012,548.409973,548.409973,90420600
2017-12-12,550.090027,552.869995,548.960022,552.869995,552.869995,112950800
2017-12-13,551.650024,552.849976,550.559998,550.559998,550.559998,97610200
2017-12-14,550.159973,550.599976,547.469971,547.469971,547.469971,85986200
2017-12-15,546.609985,548.669983,545.650024,548.669983,548.669983,140605300
2017-12-18,551.570007,553.650024,551.150024,553.289978,553.289978,79307000
2017-12-19,553.840027,555.119995,551.909973,552.030029,552.030029,66861000
2017-12-20,552.210022,552.260010,545.190002,547.380005,547.380005,73627200
2017-12-21,546.270020,549.719971,544.080017,549.390015,549.390015,70545600
2017-12-22,548.330017,549.179993,546.890015,548.479980,548.479980,45269700
2017-12-27,548.510010,549.859985,546.440002,548.599976,548.599976,41838900
2017-12-28,548.349976,548.940002,546.469971,547.059998,547.059998,39861100
2017-12-29,546.200012,547.719971,544.039978,544.580017,544.580017,45533300
2018-01-02,545.239990,545.380005,540.340027,544.789978,544.789978,64576900
